# step | KE | PE | CoM x | CoM y | CoM z | L_x | L_y | L_z | rmsd | vdw_area_0_surface | vdw_force_0_surface | vdw_energy_0_surface
44001	+3.954809e-19	+3.713617e-19	-2.765063e-10	-1.312898e-10	+2.358214e-11	-3.551804e-31	+3.021521e-30	+3.959623e-30	+5.250124e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
45001	+3.453060e-19	+3.577407e-19	-2.687986e-10	-1.427076e-10	+3.059795e-11	-4.543127e-31	+2.915995e-30	+5.536195e-30	+5.268468e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
46001	+3.700667e-19	+3.610169e-19	-2.581881e-10	-1.568013e-10	+3.811176e-11	-4.712090e-31	+3.396256e-30	+6.565678e-30	+5.228073e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
47001	+3.832927e-19	+3.979433e-19	-2.445643e-10	-1.701322e-10	+4.607061e-11	-4.035569e-31	+3.973373e-30	+5.919588e-30	+5.258174e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
48001	+3.405448e-19	+3.499145e-19	-2.327020e-10	-1.836595e-10	+5.108313e-11	+3.045145e-31	+1.614737e-31	+6.827662e-30	+5.282167e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
49001	+3.606561e-19	+3.496515e-19	-2.198278e-10	-1.984051e-10	+5.051428e-11	-2.428673e-31	-7.044065e-33	+6.851194e-30	+5.331189e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
50001	+3.339683e-19	+3.128807e-19	-2.051842e-10	-2.160476e-10	+4.933983e-11	+1.792078e-31	-1.897368e-31	+9.116643e-30	+5.357596e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
51001	+4.195387e-19	+3.564257e-19	-1.912419e-10	-2.388662e-10	+4.698811e-11	-6.719911e-32	-1.158905e-30	+1.072061e-29	+5.412855e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
52001	+3.668155e-19	+3.777433e-19	-1.792540e-10	-2.628703e-10	+4.523054e-11	+6.341133e-32	-1.313528e-30	+1.012799e-29	+5.473583e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
53001	+3.487582e-19	+3.399408e-19	-1.711980e-10	-2.834275e-10	+4.000755e-11	+5.215433e-31	-4.479941e-30	+9.299281e-30	+5.552002e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
